index,game_id,soundtrack,segment,genre
1,3-ninjas-kick-back,soundtrack_0001,3-ninjas-kick-back_00229.mp4,Platform
11,3-ninjas-kick-back,soundtrack_0002,3-ninjas-kick-back_00103.mp4,Platform
64,3-ninjas-kick-back,soundtrack_0003,3-ninjas-kick-back_00581.mp4,Platform
74,3-ninjas-kick-back,soundtrack_0004,3-ninjas-kick-back_00559.mp4,Platform
84,3-ninjas-kick-back,soundtrack_0005,3-ninjas-kick-back_00063.mp4,Platform
118,3-ninjas-kick-back,soundtrack_0006,3-ninjas-kick-back_00659.mp4,Platform
121,3-ninjas-kick-back,soundtrack_0007,3-ninjas-kick-back_00119.mp4,Platform
180,3-ninjas-kick-back,soundtrack_0008,3-ninjas-kick-back_00393.mp4,Platform
236,3-ninjas-kick-back,soundtrack_0009,3-ninjas-kick-back_00501.mp4,Platform
242,3-ninjas-kick-back,soundtrack_0010,3-ninjas-kick-back_00037.mp4,Platform
255,3-ninjas-kick-back,soundtrack_0011,3-ninjas-kick-back_00205.mp4,Platform
267,3-ninjas-kick-back,soundtrack_0012,3-ninjas-kick-back_00023.mp4,Platform
315,3-ninjas-kick-back,soundtrack_0013,3-ninjas-kick-back_00681.mp4,Platform
470,3x3-eyes-seima-kourinden,soundtrack_0001,3x3-eyes-seima-kourinden_00167.mp4,Fighting
473,3x3-eyes-seima-kourinden,soundtrack_0002,3x3-eyes-seima-kourinden_00023.mp4,Fighting
483,3x3-eyes-seima-kourinden,soundtrack_0003,3x3-eyes-seima-kourinden_00077.mp4,Fighting
503,3x3-eyes-seima-kourinden,soundtrack_0006,3x3-eyes-seima-kourinden_00229.mp4,Fighting
522,3x3-eyes-seima-kourinden,soundtrack_0007,3x3-eyes-seima-kourinden_00193.mp4,Fighting
530,3x3-eyes-seima-kourinden,soundtrack_0008,3x3-eyes-seima-kourinden_00277.mp4,Fighting
539,3x3-eyes-seima-kourinden,soundtrack_0009,3x3-eyes-seima-kourinden_00235.mp4,Fighting
542,3x3-eyes-seima-kourinden,soundtrack_0010,3x3-eyes-seima-kourinden_00101.mp4,Fighting
552,3x3-eyes-seima-kourinden,soundtrack_0011,3x3-eyes-seima-kourinden_00211.mp4,Fighting
554,3x3-eyes-seima-kourinden,soundtrack_0012,3x3-eyes-seima-kourinden_00279.mp4,Fighting
555,3x3-eyes-seima-kourinden,soundtrack_0015,3x3-eyes-seima-kourinden_00037.mp4,Fighting
574,3x3-eyes-seima-kourinden,soundtrack_0016,3x3-eyes-seima-kourinden_00145.mp4,Fighting
585,3x3-eyes-seima-kourinden,soundtrack_0017,3x3-eyes-seima-kourinden_00063.mp4,Fighting
587,3x3-eyes-seima-kourinden,soundtrack_0019,3x3-eyes-seima-kourinden_00031.mp4,Fighting
592,3x3-eyes-seima-kourinden,soundtrack_0021,3x3-eyes-seima-kourinden_00227.mp4,Fighting
594,3x3-eyes-seima-kourinden,soundtrack_0022,3x3-eyes-seima-kourinden_00011.mp4,Fighting
604,3x3-eyes-seima-kourinden,soundtrack_0025,3x3-eyes-seima-kourinden_00087.mp4,Fighting
610,3x3-eyes-seima-kourinden,soundtrack_0026,3x3-eyes-seima-kourinden_00009.mp4,Fighting
611,3x3-eyes-seima-kourinden,soundtrack_0031,3x3-eyes-seima-kourinden_00019.mp4,Fighting
