index,game_id,segment,genre
1,3-ninjas-kick-back,3-ninjas-kick-back_00229.mp4,Platform
2,3-ninjas-kick-back,3-ninjas-kick-back_00635.mp4,Platform
3,3-ninjas-kick-back,3-ninjas-kick-back_00671.mp4,Platform
5,3-ninjas-kick-back,3-ninjas-kick-back_00091.mp4,Platform
11,3-ninjas-kick-back,3-ninjas-kick-back_00103.mp4,Platform
17,3-ninjas-kick-back,3-ninjas-kick-back_00117.mp4,Platform
18,3-ninjas-kick-back,3-ninjas-kick-back_00333.mp4,Platform
24,3-ninjas-kick-back,3-ninjas-kick-back_00345.mp4,Platform
26,3-ninjas-kick-back,3-ninjas-kick-back_00565.mp4,Platform
32,3-ninjas-kick-back,3-ninjas-kick-back_00577.mp4,Platform
33,3-ninjas-kick-back,3-ninjas-kick-back_00675.mp4,Platform
35,3-ninjas-kick-back,3-ninjas-kick-back_00065.mp4,Platform
41,3-ninjas-kick-back,3-ninjas-kick-back_00077.mp4,Platform
46,3-ninjas-kick-back,3-ninjas-kick-back_00313.mp4,Platform
52,3-ninjas-kick-back,3-ninjas-kick-back_00325.mp4,Platform
53,3-ninjas-kick-back,3-ninjas-kick-back_00351.mp4,Platform
55,3-ninjas-kick-back,3-ninjas-kick-back_00409.mp4,Platform
56,3-ninjas-kick-back,3-ninjas-kick-back_00541.mp4,Platform
62,3-ninjas-kick-back,3-ninjas-kick-back_00553.mp4,Platform
64,3-ninjas-kick-back,3-ninjas-kick-back_00581.mp4,Platform
65,3-ninjas-kick-back,3-ninjas-kick-back_00629.mp4,Platform
66,3-ninjas-kick-back,3-ninjas-kick-back_00047.mp4,Platform
67,3-ninjas-kick-back,3-ninjas-kick-back_00089.mp4,Platform
68,3-ninjas-kick-back,3-ninjas-kick-back_00121.mp4,Platform
70,3-ninjas-kick-back,3-ninjas-kick-back_00291.mp4,Platform
71,3-ninjas-kick-back,3-ninjas-kick-back_00329.mp4,Platform
72,3-ninjas-kick-back,3-ninjas-kick-back_00355.mp4,Platform
73,3-ninjas-kick-back,3-ninjas-kick-back_00525.mp4,Platform
74,3-ninjas-kick-back,3-ninjas-kick-back_00559.mp4,Platform
76,3-ninjas-kick-back,3-ninjas-kick-back_00585.mp4,Platform
78,3-ninjas-kick-back,3-ninjas-kick-back_00051.mp4,Platform
84,3-ninjas-kick-back,3-ninjas-kick-back_00063.mp4,Platform
85,3-ninjas-kick-back,3-ninjas-kick-back_00297.mp4,Platform
